Temperature	Mass	Normalized
464.7387	28.73026	0.142220728
465.2028	28.72927	0.141941061
465.672	28.72796	0.141570996
466.1328	28.72637	0.141121833
466.5981	28.72478	0.140672671
467.0649	28.72385	0.140409953
467.5613	28.72272	0.140090737
468.0626	28.72171	0.139805419
468.5446	28.72032	0.139412755
469.0296	28.71892	0.139017266
469.5188	28.7177	0.138672625
470.0235	28.71668	0.138384483
470.5332	28.71506	0.137926846
471.0334	28.71368	0.137537006
471.5396	28.71258	0.137226265
472.0489	28.71157	0.136940948
472.5611	28.71025	0.136568058
473.0758	28.70863	0.136110421
473.5928	28.70709	0.135675382
474.1128	28.70552	0.13523187
474.6356	28.70409	0.134827906
475.1746	28.70245	0.134364618
475.7156	28.7009	0.133926755
476.2472	28.69991	0.133647088
476.7805	28.69853	0.133257249
477.3172	28.69715	0.132867409
477.8684	28.69571	0.132460621
478.423	28.69435	0.132076431
478.966	28.69266	0.131599019
479.5122	28.6913	0.13121483
480.0604	28.68994	0.13083064
480.625	28.68855	0.130437976
481.192	28.68732	0.130090511
481.7488	28.68572	0.129638523
482.3083	28.68396	0.129141337
482.8672	28.68226	0.1286611
483.4574	28.68078	0.128243011
484.048	28.6792	0.127796673
484.6147	28.6774	0.127288187
485.1812	28.67575	0.126822075
485.7474	28.67417	0.126375737
486.3277	28.67252	0.125909625
486.9088	28.67059	0.125364415
487.4778	28.66932	0.12500565
488.0472	28.66775	0.124562137
488.6191	28.6662	0.124124274
489.2061	28.66448	0.123638387
489.7944	28.66282	0.12316945
490.3688	28.66088	0.122621415
490.9438	28.65906	0.122107279
491.5228	28.65756	0.121683541
492.1309	28.65582	0.121192004
492.7402	28.65428	0.120756966
493.3211	28.65279	0.120336053
493.9028	28.6512	0.11988689
494.4848	28.64936	0.119367104
495.0672	28.64748	0.118836019
495.6502	28.64576	0.118350132
496.2328	28.64402	0.117858596
496.8178	28.64241	0.117403783
497.402	28.64056	0.116881172
498.0148	28.63904	0.116451784
498.6296	28.63678	0.115813352
499.2135	28.63508	0.115333115
499.7985	28.6332	0.114802029
500.3826	28.6315	0.114321793
500.9832	28.62974	0.113824606
501.5859	28.62804	0.113344369
502.1744	28.6262	0.112824584
502.7624	28.62411	0.112234175
503.3502	28.62187	0.111601392
503.9519	28.61982	0.111022283
504.5528	28.61807	0.110527922
505.141	28.61655	0.110098533
505.728	28.61456	0.109536374
506.3126	28.61236	0.108914891
506.9126	28.61024	0.108316007
507.5103	28.60813	0.107719948
508.0937	28.60589	0.107087166
508.6757	28.60362	0.106445908
509.257	28.60184	0.105943072
509.8662	28.59978	0.105361138
510.4764	28.59798	0.104852652
511.0574	28.59634	0.104389365
511.6399	28.5946	0.103897828
512.2219	28.59238	0.103270695
512.8176	28.59038	0.102705711
513.4131	28.58844	0.102157676
513.9941	28.58643	0.101589866
514.5744	28.58438	0.101010757
515.155	28.58254	0.100490972
515.7476	28.58053	0.099923162
516.34	28.57844	0.099332753
516.9188	28.57624	0.09871127
517.4981	28.57398	0.098072838
518.076	28.57172	0.097434405
518.6831	28.5694	0.096779023
519.2904	28.56699	0.096098217
519.8684	28.5648	0.095479559
520.4462	28.5624	0.094801577
521.0238	28.55998	0.094117946
521.6008	28.55804	0.093569911
522.1783	28.55601	0.092996452
522.7561	28.55381	0.092374969
523.3312	28.55146	0.091711112
523.907	28.54917	0.091064205
524.4972	28.54706	0.090468146
525.0856	28.54482	0.089835364
525.6593	28.54241	0.089154557
526.2305	28.5401	0.088502
526.8021	28.53823	0.08797374
527.388	28.53574	0.087270334
527.972	28.53332	0.086586703
528.5412	28.5306	0.085818324
529.1087	28.52827	0.085160117
529.6772	28.52578	0.084456711
530.2574	28.52354	0.083823928
530.837	28.52141	0.08322222
531.4031	28.51892	0.082518814
531.9693	28.51652	0.081840833
532.5354	28.51386	0.081089403
533.1279	28.51104	0.080292775
533.7195	28.50841	0.07954982
534.2832	28.5061	0.078897263
534.846	28.50341	0.078137359
535.4089	28.50083	0.077408529
535.9831	28.49836	0.076710773
536.5592	28.49616	0.07608929
537.1192	28.49326	0.075270063
537.6772	28.4907	0.074546882
538.2362	28.48802	0.073789803
538.8074	28.48524	0.073004475
539.3768	28.48265	0.07227282
539.9341	28.48019	0.071577889
540.4887	28.47729	0.070758661
541.0432	28.47492	0.070089155
541.624	28.47228	0.069343375
542.2075	28.46921	0.068476124
542.7615	28.4667	0.067767068
543.316	28.46417	0.067052363
543.8684	28.46148	0.066292459
544.434	28.45867	0.065498655
545.0016	28.45625	0.064815024
545.5544	28.45349	0.064035345
546.105	28.45046	0.063179394
546.6536	28.4477	0.062399715
547.203	28.44514	0.061676535
547.7524	28.44263	0.060967479
548.3007	28.44004	0.060235825
548.8506	28.43728	0.059456146
549.3972	28.43418	0.05858042
549.9716	28.4315	0.057823341
550.5455	28.42872	0.057038012
551.0915	28.42624	0.056337431
551.6372	28.42352	0.055569052
552.1829	28.42098	0.054851522
552.7419	28.41842	0.054128342
553.3016	28.41568	0.053354313
553.8455	28.41283	0.05254921
554.3896	28.41	0.051749757
554.9338	28.4071	0.05093053
555.4907	28.40375	0.04998418
556.0467	28.40072	0.049128229
556.588	28.39798	0.0483542
557.1306	28.39554	0.047664919
557.674	28.39259	0.046831567
558.2424	28.38986	0.046060363
558.8111	28.38692	0.045229836
559.3506	28.38419	0.044458632
559.8916	28.38159	0.043724152
560.4324	28.3789	0.042964248
560.9871	28.37609	0.042170445
561.5403	28.37363	0.041475514
562.082	28.37084	0.04068736
562.6224	28.36824	0.03995288
563.1634	28.36547	0.039170377
563.7321	28.3622	0.038246627
564.2994	28.35909	0.037368076
564.8388	28.35654	0.036647721
565.38	28.35361	0.035820019
565.919	28.35091	0.035057289
566.4588	28.34851	0.034379308
566.9986	28.34592	0.033647653
567.539	28.3432	0.032879274
568.0776	28.3405	0.032116545
568.6168	28.33792	0.031387715
569.1826	28.33487	0.030526114
569.7489	28.3321	0.02974361
570.2879	28.32944	0.028992181
570.823	28.32664	0.028201202
571.3629	28.32388	0.027421524
571.918	28.3214	0.026720943
572.4716	28.31892	0.026020362
573.0134	28.31604	0.025206784
573.5551	28.31337	0.02445253
574.0976	28.31094	0.023766074
574.6534	28.30816	0.022980745
575.209	28.30549	0.022226491
575.7488	28.30294	0.021506136
576.2921	28.30039	0.02078578
576.832	28.29775	0.020040001
577.3995	28.29428	0.019059753
577.967	28.29156	0.018291374
578.507	28.2888	0.017511695
579.047	28.28629	0.01680264
579.5876	28.28344	0.015997537
580.1402	28.28087	0.015271532
580.6932	28.27827	0.014537052
581.2331	28.27571	0.013813871
581.7729	28.27336	0.013150015
582.3135	28.27053	0.012350562
582.8668	28.2678	0.011579358
583.4228	28.26528	0.010867477
583.9641	28.26284	0.010178196
584.5063	28.2604	0.009488915
585.0484	28.25821	0.008870257
585.6187	28.25548	0.008099053
586.1874	28.25263	0.00729395
586.7289	28.2497	0.006466248
587.272	28.24709	0.005728943
587.8149	28.24429	0.004937965
588.3562	28.24186	0.004251509
588.899	28.2392	0.003500079
589.4396	28.23654	0.00274865
589.9783	28.23424	0.002098917
590.5194	28.2317	0.001381387
591.0884	28.22937	0.00072318
591.6571	28.22681	0
